Timestamp,LogLevel,Message
"2024-10-30 02:08:45,375",INFO,Successfully fetched https://www.uwp.edu/
"2024-10-30 02:08:45,415",INFO,Word count completed for https://www.uwp.edu/
"2024-10-30 02:08:45,427",INFO,"Details for website https://www.uwplatt.edu/: {'Category': 'College', 'State': 'WI', 'City': 'Platteville', 'Institution': 'University of Wisconsin-Platteville'}"
"2024-10-30 02:08:45,658",INFO,R- Successfully read robots.txt from https://www.uwplatt.edu/robots.txt
"2024-10-30 02:08:45,658",INFO,"R- Disallowed paths for domain www.uwplatt.edu: /core/, /profiles/, /README.md, /composer/Metapackage/README.txt, /composer/Plugin/ProjectMessage/README.md, /composer/Plugin/Scaffold/README.md, /composer/Plugin/VendorHardening/README.txt, /composer/Template/README.txt, /modules/README.txt, /sites/README.txt, /themes/README.txt, /web.config, /admin/, /comment/reply/, /filter/tips, /node/add/, /search/, /user/register, /user/password, /user/login, /user/logout, /media/oembed, /*/media/oembed, /index.php/admin/, /index.php/comment/reply/, /index.php/filter/tips, /index.php/node/add/, /index.php/search/, /index.php/user/password, /index.php/user/register, /index.php/user/login, /index.php/user/logout, /index.php/media/oembed, /index.php/*/media/oembed, /p/, /a/"
"2024-10-30 02:08:45,843",INFO,Successfully fetched https://www.uwplatt.edu/
"2024-10-30 02:08:45,866",INFO,Word count completed for https://www.uwplatt.edu/
"2024-10-30 02:08:45,871",INFO,"Details for website https://www.uwrf.edu/: {'Category': 'College', 'State': 'WI', 'City': 'River Falls', 'Institution': 'University of Wisconsin-River Falls'}"
"2024-10-30 02:08:46,164",INFO,R- Successfully read robots.txt from https://www.uwrf.edu/robots.txt
"2024-10-30 02:08:46,165",INFO,"R- Disallowed paths for domain www.uwrf.edu: /AAI/, /CMSTraining/StudentPages/, /CMSTraining/StudentTraining/, /Research/IR-Info-Center.cfm, /StudentHealthAndCounseling/upload/BrochureAngerManagement.pdf, /DOTS/upload/, /DOTS/ExpiredEmailDoc/, /DOTS/ExpiredEmailDoc/upload, /Gener-Education/, /upload/, /customcf/, /*/upload/, /ClassSchedule/courseLightbox.cfm, /Chemistry2/, /EVCO/, /HumanResources/Director/, /Majors/undergraduateNewFormat/, /ADC/Orientation/, /Budget/BudgetRequest2017/, /CBE/Internship/Offerings/, /studenthandbook/, /Diversity/upload/UWRF-Climate-Study-Final_exec-sum.pdf, /Diversity/upload/UWRF-Climate-Study-Final_no-appx.pdf, /Parking/StudentParking/StuApp.cfm, /Academics/AssociateDegree.cfm, /Administration/Provost/upload/UWRF-White-Paper-Student-Success-Case-2019.pdf, /Administration/Provost/upload/Student-Success-Structural-Model-Aug-2019.pdf"
"2024-10-30 02:08:46,316",INFO,Successfully fetched https://www.uwrf.edu/
"2024-10-30 02:08:46,346",INFO,Word count completed for https://www.uwrf.edu/
"2024-10-30 02:08:46,355",INFO,"Details for website https://www.uwsp.edu/: {'Category': 'College', 'State': 'WI', 'City': 'Stevens Point', 'Institution': 'University of Wisconsin-Stevens Point'}"
"2024-10-30 02:08:46,781",WARNING,"R- Failed to find https://www.uwsp.edu/robots.txt, trying next protocol..."
"2024-10-30 02:08:47,086",WARNING,"R- Failed to find http://www.uwsp.edu/robots.txt, trying next protocol..."
"2024-10-30 02:08:47,086",WARNING,R- Failed to obtain robots.txt for domain www.uwsp.edu using both HTTP and HTTPS.
"2024-10-30 02:08:47,086",WARNING,"R- No robots.txt found for www.uwsp.edu, assuming no restrictions."
"2024-10-30 02:08:48,023",INFO,Successfully fetched https://www.uwsp.edu/
"2024-10-30 02:08:48,056",INFO,Word count completed for https://www.uwsp.edu/
"2024-10-30 02:08:48,063",INFO,"Details for website https://www.uwstout.edu/: {'Category': 'College', 'State': 'WI', 'City': 'Menomonie', 'Institution': 'University of Wisconsin-Stout'}"
"2024-10-30 02:08:48,340",INFO,R- Successfully read robots.txt from https://www.uwstout.edu/robots.txt
"2024-10-30 02:08:48,340",INFO,"R- Disallowed paths for domain www.uwstout.edu: /core/, /profiles/, /README.md, /composer/Metapackage/README.txt, /composer/Plugin/ProjectMessage/README.md, /composer/Plugin/Scaffold/README.md, /composer/Plugin/VendorHardening/README.txt, /composer/Template/README.txt, /modules/README.txt, /sites/README.txt, /themes/README.txt, /web.config, /admin/, /comment/reply/, /filter/tips, /node/add/, /search/, /user/register, /user/password, /user/login, /user/logout, /media/oembed, /*/media/oembed, /index.php/admin/, /index.php/comment/reply/, /index.php/filter/tips, /index.php/node/add/, /index.php/search/, /index.php/user/password, /index.php/user/register, /index.php/user/login, /index.php/user/logout, /index.php/media/oembed, /index.php/*/media/oembed, /programs?, /directory?, /search_api_autocomplete/, /index.php/programs?, /index.php/directory?, /index.php/search_api_autocomplete/"
"2024-10-30 02:08:48,430",INFO,Successfully fetched https://www.uwstout.edu/
"2024-10-30 02:08:48,462",INFO,Word count completed for https://www.uwstout.edu/
"2024-10-30 02:08:48,471",INFO,"Details for website https://www.briarcliff.edu/: {'Category': 'College', 'State': 'IA', 'City': 'Sioux City', 'Institution': 'Briar Cliff University'}"
"2024-10-30 02:08:48,812",INFO,R- Successfully read robots.txt from https://www.briarcliff.edu/robots.txt
"2024-10-30 02:08:48,813",INFO,R- Disallowed paths for domain www.briarcliff.edu: None
"2024-10-30 02:08:49,591",INFO,Successfully fetched https://www.briarcliff.edu/
"2024-10-30 02:08:49,646",INFO,Word count completed for https://www.briarcliff.edu/
"2024-10-30 02:08:49,655",INFO,"Details for website https://www.central.edu/: {'Category': 'College', 'State': 'IA', 'City': 'Pella', 'Institution': 'Central College'}"
"2024-10-30 02:08:50,274",INFO,R- Successfully read robots.txt from https://www.central.edu/robots.txt
"2024-10-30 02:08:50,274",INFO,R- Disallowed paths for domain www.central.edu: /wp-admin/
"2024-10-30 02:08:50,447",INFO,Successfully fetched https://www.central.edu/
"2024-10-30 02:08:50,472",INFO,Word count completed for https://www.central.edu/
"2024-10-30 02:08:50,479",INFO,"Details for website https://www.coe.edu/: {'Category': 'College', 'State': 'IA', 'City': 'Cedar Rapids', 'Institution': 'Coe College'}"
"2024-10-30 02:08:50,669",WARNING,"R- Failed to find https://www.coe.edu/robots.txt, trying next protocol..."
